City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1340,Palmas,BR,75.07,Clouds,-10.2128,-48.3603,Hotel Lago da Palma
1347,Sao Jose De Ribamar,BR,80.98,Clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
1352,Cozumel,MX,78.12,Clear,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
1359,Tarakan,ID,87.3,Clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
1376,Panlaitan,PH,83.32,Clouds,12.1191,119.8486,Panlaitan Cetro Beach
1393,Kanigoro,ID,86.25,Clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
1401,Cabedelo,BR,77.67,Clouds,-6.9811,-34.8339,Hotel Pigalle
1406,Piacabucu,BR,76.8,Clouds,-10.4056,-36.4344,Piaçabuçu News
1412,Dumabato,PH,80.62,Clouds,16.3167,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
1423,Maputo,MZ,81.23,Clouds,-25.9653,32.5892,Pestana Rovuma
1424,Santa Rita,BR,77.67,Clouds,-7.1139,-34.9781,Infinity Motel
1426,Torres,BR,76.82,Clouds,-29.3353,-49.7269,Farol Hotel
1433,Merauke,ID,84.94,Clouds,-8.4667,140.3333,
1439,Pringsewu,ID,85.62,Clouds,-5.3582,104.9744,Urban Style by Front One
1441,Akividu,IN,80.78,Clouds,16.6,81.3833,Santhi Inn
1452,Port Augusta,AU,88.7,Clear,-32.5,137.7667,Majestic Oasis Apartments
1457,Saint-Leu,RE,83.26,Rain,-21.15,55.2833,La Caz Oceane
1461,Colon,PA,78.24,Clear,9.3592,-79.9014,Sand Diamond Hotel
1464,Tabou,CI,76.98,Rain,4.423,-7.3528,hotêl doufoulougou
1469,Jacqueville,CI,76.91,Clear,5.2052,-4.4146,Hotel Le Martin Pecheur
1506,Arang,IN,79.12,Clear,21.2,81.9667,Hotel Kunwar Shree
1515,Barabai,ID,83.07,Clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
1524,Maningrida,AU,85.91,Rain,-12.0667,134.2667,Dhukurrdji Lodge
1527,Tezu,IN,75.0,Clouds,27.9167,96.1667,Circuit House
1532,Bandrele,YT,85.75,Clouds,-12.9067,45.1914,Les Baobabs
1537,Moree,AU,83.46,Clear,-29.4667,149.85,Molika Springs Motel
1557,Palu,ID,86.23,Clouds,-0.8917,119.8707,Hotel Santika Palu
1559,Isabela,PH,84.07,Rain,6.7085,121.9711,Isawad Resort
1560,Ligayan,PH,81.14,Clouds,4.6533,119.4706,
1561,Banjar,ID,85.91,Rain,-8.19,114.9675,The Hamsa Resort
1562,Cairns,AU,89.55,Clouds,-16.9167,145.7667,Mantra Trilogy Cairns
1572,Wajid,SO,81.52,Clouds,3.8093,43.2471,xamdihotelresturant114
1575,Sinjai,ID,88.14,Clouds,-5.1241,120.253,Wisma Sandika
1600,Jurado,CO,75.34,Rain,7.1053,-77.7641,
1604,Berbera,SO,76.05,Clear,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
1619,Takoradi,GH,77.67,Rain,4.8845,-1.7554,Raybow International Hotel
1622,Kralendijk,BQ,78.91,Clear,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1624,Mahbubabad,IN,82.11,Clouds,17.6167,80.0167,Vedansh Residency
1625,San Rafael Del Sur,NI,76.05,Clear,11.8485,-86.4384,Hospedaje El Chino
1626,Iquitos,PE,75.24,Clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
1627,Mayumba,GA,75.43,Clouds,-3.432,10.6554,LIKWALE LODGE
1644,Dorado,PR,75.85,Clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
1645,Quelimane,MZ,82.96,Clouds,-17.8786,36.8883,Hotel Flamingo
1657,Morondava,MG,83.12,Clouds,-20.2833,44.2833,La Case Bambou
1662,Black River,JM,77.0,Clear,18.0264,-77.8487,Idlers' Rest Beach Hotel
1663,Bairiki,KI,84.2,Rain,1.3292,172.9752,Tarawa Boutique Hotel
1679,Kanigiri,IN,83.97,Clouds,15.4,79.5167,COMFORT INN
1682,Voh,NC,84.07,Clouds,-20.9667,164.7,Le gîte du Koniambo
1686,Saint-Joseph,RE,82.78,Rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
1689,Miandrivazo,MG,84.56,Clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
1691,Naifaru,MV,81.3,Clouds,5.4444,73.3657,Naifaru Residence Guest House
1694,Edd,ER,85.69,Clear,13.9297,41.6925,
1696,Tebingtinggi,ID,86.05,Clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
1701,Palembang,ID,84.29,Clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
1706,Badvel,IN,84.29,Clouds,14.75,79.05,UNS Residency Lodge A/c
1707,Khao Wong,TH,84.85,Clouds,16.7001,104.0902,ลำน้ำยังรีสอร์ท
1719,Da Nang,VN,75.18,Clouds,16.0678,108.2208,Sun River Hotel
1720,Dzaoudzi,YT,85.89,Clouds,-12.7887,45.2699,Le Rocher
1732,Beruwala,LK,82.29,Clear,6.4788,79.9828,The Palms Hotel
1742,Pawa,PH,75.04,Rain,13.1747,123.7328,Hotel St. Ellis
1755,Buchanan,LR,75.16,Rain,5.8808,-10.0467,Kamaneahn Hotel Inc
1759,Blantyre,MW,75.58,Clouds,-15.785,35.0085,Home Up Guest House
1762,Pozo Colorado,PY,78.64,Rain,-23.4923,-58.7972,Hospedaje la Amistad
1770,Ciudad Bolivar,VE,75.29,Clear,8.1222,-63.5497,Hotel Edi
1772,Bontang,ID,84.83,Clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
1774,Lhokseumawe,ID,84.24,Rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
1797,Alyangula,AU,84.4,Clouds,-13.8483,136.4192,Groote Eylandt Lodge
1813,Kankon,IN,79.86,Clouds,15.0167,74.0167,Palolem Beach Resort
1815,Mariental,,76.14,Clouds,-24.6333,17.9667,Mariental Hotel
1817,Isiolo,KE,76.15,Clouds,0.3546,37.5822,Gaddisa Hotel
1818,Ocos,GT,79.32,Clear,14.5094,-92.1933,Auto Hotel El Soñador
