City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Xiazhen,CN,2022-02-02 01:35:52,34.8022,117.1117,36.72,36,100,5.68
60,Isangel,VU,2022-02-02 01:35:52,-19.55,169.2667,86.11,84,75,2.3
61,Xingcheng,CN,2022-02-02 01:35:53,40.6167,120.7167,17.8,67,2,3.11
62,Avera,US,2022-02-02 01:31:55,33.194,-82.5271,54.91,59,21,10.63
63,Mar Del Plata,AR,2022-02-02 01:26:57,-38.0023,-57.5575,71.1,79,0,1.01
64,Klaksvik,FO,2022-02-02 01:25:55,62.2266,-6.589,36.52,76,100,18.66
65,Nikolskoye,RU,2022-02-02 01:35:54,59.7035,30.7861,22.89,98,99,2.64
66,Mount Gambier,AU,2022-02-02 01:28:25,-37.8333,140.7667,62.51,45,100,17.27
67,Borba,BR,2022-02-02 01:35:54,-4.3878,-59.5939,73.87,98,100,2.17
68,Tura,IN,2022-02-02 01:27:18,25.5198,90.2201,51.84,73,0,2.75
69,Kapit,MY,2022-02-02 01:35:55,2.0167,112.9333,83.12,72,40,0.81
70,Longyearbyen,SJ,2022-02-02 01:27:14,78.2186,15.6401,22.84,63,40,2.3
71,Hilo,US,2022-02-02 01:35:56,19.7297,-155.09,76.73,74,75,5.75
72,Cabo San Lucas,MX,2022-02-02 01:35:56,22.8909,-109.9124,71.91,52,0,11.5
73,Fortuna,US,2022-02-02 01:35:57,40.5982,-124.1573,48.54,77,20,1.01
74,Tiznit,MA,2022-02-02 01:35:57,29.5833,-9.5,62.89,32,74,2.64
75,Mariinsk,RU,2022-02-02 01:35:58,56.2139,87.7472,3.92,98,90,4.45
76,Kapaa,US,2022-02-02 01:26:02,22.0752,-159.319,79.12,68,0,1.99
77,Airai,TL,2022-02-02 01:28:59,-8.9266,125.4092,69.6,63,100,4.09
78,Shache,CN,2022-02-02 01:32:41,38.4167,77.2406,26.71,50,49,2.19
79,Ambon,ID,2022-02-02 01:35:45,-3.6954,128.1814,87.94,62,40,9.22
80,Verkhnevilyuysk,RU,2022-02-02 01:35:59,63.4453,120.3167,-28.52,98,92,5.86
81,Wuda,CN,2022-02-02 01:35:59,39.4994,106.7117,18.79,22,22,4.18
82,Qaanaaq,GL,2022-02-02 01:36:00,77.484,-69.3632,-19.75,65,100,11.61
83,Tuktoyaktuk,CA,2022-02-02 01:36:00,69.4541,-133.0374,-27.4,68,20,3.44
84,Soyo,AO,2022-02-02 01:36:01,-6.1349,12.3689,77.4,87,82,6.38
85,Urumqi,CN,2022-02-02 01:34:02,43.801,87.6005,-4.85,92,20,4.47
86,Atasu,KZ,2022-02-02 01:36:02,48.6814,71.6433,9.68,85,100,7.85
87,Saint George,US,2022-02-02 01:26:31,37.1041,-113.5841,47.62,24,0,8.99
88,Novyy Urengoy,RU,2022-02-02 01:37:02,66.0833,76.6333,-17.12,100,100,5.01
89,Kaitangata,NZ,2022-02-02 01:27:16,-46.2817,169.8464,73.92,67,100,12.77
90,Mecca,SA,2022-02-02 01:37:03,21.4267,39.8261,67.12,40,0,1.9
91,Kayes,ML,2022-02-02 01:36:39,14.0,-11.0,76.01,12,0,7.94
92,Hirara,JP,2022-02-02 01:37:03,24.8,125.2833,67.86,88,75,3.44
93,Bubaque,GW,2022-02-02 01:37:04,11.2833,-15.8333,77.92,79,1,6.46
94,Kavieng,PG,2022-02-02 01:30:34,-2.5744,150.7967,81.79,74,100,6.08
95,Lompoc,US,2022-02-02 01:37:04,34.6391,-120.4579,59.14,48,0,25.01
96,Teguldet,RU,2022-02-02 01:37:05,57.3064,88.1667,12.49,97,96,5.37
97,Cherskiy,RU,2022-02-02 01:34:22,68.75,161.3,10.56,70,99,4.61
98,Bathsheba,BB,2022-02-02 01:37:05,13.2167,-59.5167,79.41,78,75,13.8
99,Bud,US,2022-02-02 01:37:06,39.447,-86.1758,55.38,58,100,11.34
100,Maningrida,AU,2022-02-02 01:37:06,-12.0667,134.2667,86.47,65,66,13.85
101,Ormara,PK,2022-02-02 01:37:07,25.2088,64.6357,71.87,72,0,11.88
102,Fort Nelson,CA,2022-02-02 01:37:07,58.8053,-122.7002,-13.41,84,0,3.44
103,Carnarvon,AU,2022-02-02 01:37:07,-24.8667,113.6333,84.27,70,98,13.8
104,Jacareacanga,BR,2022-02-02 01:37:08,-6.2222,-57.7528,73.6,98,98,0.83
105,Samarai,PG,2022-02-02 01:30:26,-10.6167,150.6667,82.51,74,100,9.89
106,Jiayuguan,CN,2022-02-02 01:33:13,39.8167,98.3,20.53,32,0,6.02
107,Brewster,US,2022-02-02 01:37:09,41.3973,-73.6171,34.39,74,100,0.0
108,Hokitika,NZ,2022-02-02 01:34:17,-42.7167,170.9667,65.59,94,100,18.05
109,Constantine,DZ,2022-02-02 01:37:09,36.365,6.6147,44.01,75,75,21.85
